,website,score,key_words
64,http://www.capespan.com,41,"['Fresh', 'Europe', 'International', 'countries', 'continents', 'distribution', 'America', 'Africa', 'China', 'import', 'importer', 'Global', 'continents']"
14,http://www.ccelra.com,38,"['congelado', 'Carne', 'Europe', 'International', 'China', 'export', 'import', 'internacional', 'mundial', 'mundo', 'exportador', 'English']"
4,http://www.houssydrink.com/,33,"['Fresh', 'Europe', 'distribution', 'America', 'Worldwide', 'world-wide', 'China', 'South America', 'World', 'export', 'English']"
20,http://www.cargill.com/,33,"['Meat ', 'Europe', 'distribution', 'America', 'Africa', 'Worldwide', 'China', 'World', 'import', 'Global', 'German']"
62,http://www.ideal-foods.co.uk,33,"['Fish', 'Meat ', 'Europe', 'countries', 'China', 'export', 'exporting', 'import', 'Global', 'English', 'German']"
35,http://www.bdfingredients.com,31,"['Fish', 'Fresh', 'Meat ', 'Cheese', 'distribution', 'import', 'Global', 'English', 'German']"
42,http://www.agrial.com,31,"['Fresh', 'Meat ', 'Frais', 'Viande', 'Lait', 'Europe', 'Afrique']"
81,http://www.somerdale.co.uk,29,"['Cheese', 'International', 'countries', 'distribution', 'World', 'export', 'exporter', 'import', 'Global']"
22,http://www.fcostabrava.com,27,"['Fresco', 'Carne', 'carne fresca', 'China', 'World', 'import', 'internacional']"
59,http://www.vallcompanys.es,26,"['congelado', 'Carne', 'export', 'import', 'Global', 'Europa', 'mundo', 'English']"
44,http://www.naogafoods.com,25,"['pesca', 'congelado', 'export', 'import', 'Europa', 'internacional', 'exportador']"
26,http://www.reunimer.com/,24,"['Europe', 'distribution', 'export', 'import', 'monde', 'exportation', 'exportateur', 'importateur']"
29,http://www.fesa.co.uk,24,"['Fresh', 'vegetables', 'America', 'Africa', 'World', 'Global', 'English', 'Spanish']"
28,http://www.selimex.com,24,"['vegetables', 'Europe', 'countries', 'World', 'export', 'import', 'importer', 'German']"
68,http://www.bonesandmeats.com,24,"['vegetables', 'International', 'continents', 'America', 'export', 'import', 'continents', 'Spanish']"
89,http://www.pescapuerta.es,24,"['Frozen', 'pesca', 'congelado', 'import', 'mundial', 'mundo']"
3,http://www.faiberti.com,23,"['Meat products', 'Meat ', 'pesca', 'carne fresca', 'import']"
85,http://www.sapmer.com/,21,"['Fresh', 'Europe', 'America', 'Africa', 'China', 'import', 'French']"
15,http://www.congeladossariego.com,20,"['pesca', 'congelado', 'China', 'import', 'Europa', 'English']"
57,http://www.lambweston.eu/,20,"['countries', 'America', 'Worldwide', 'China', 'World', 'import', 'English', 'German']"
92,http://www.americaimportsl.com,19,"['congelado', 'Leche', 'America', 'Africa', 'import']"
43,http://www.alpha-bay.com,19,"['Frozen', 'Poisson', 'America', 'import', 'monde']"
94,http://www.vidafresh.co.uk,19,"['Fresh', 'vegetables', 'Europe', 'import', 'importer']"
97,http://www.legumes-primeurs-bretons.fr,19,"['Europe', 'export', 'import', 'exportation', 'exportateur', 'importateur', 'English']"
63,http://www.magellan-import.com/index.php?entry=0&mmond=0&lang=0,18,"['Worldwide', 'World', 'export', 'import', 'Global', 'exportateur']"
55,http://www.deraza.es,18,"['Fresco', 'congelado', 'Carne', 'internacional']"
7,http://www.centrale-ethnique.com,18,"['Poisson', 'Viande', 'Fromage', 'Europe']"
6,http://www.agrosevilla.com,18,"['countries', 'World', 'export', 'exporter', 'import', 'importer']"
0,http://www.greenlandseafood.eu,17,"['Fisch', 'Europe', 'import', 'Europa', 'English', 'Deutsch', 'Italiano']"
49,http://www.frulexxo.com,17,"['distribution', 'export', 'import', 'exportateur', 'importateur', 'English', 'Deutsch']"
90,http://www.alvisa.es,14,"['America', 'import', 'Global', 'mundo', 'French', 'Spanish']"
11,http://www.cuizsqfood.com,14,"['Europe', 'countries', 'import', 'Chine', 'English', 'Spanish']"
16,http://www.patel.es,14,"['carne fresca', 'export', 'internacional', 'mercados internacionales']"
45,http://www.paprifood.com/,14,"['pesca', 'China', 'Europa', 'mundo']"
75,http://www.martinialimentare.it,13,"['Carne', 'America', 'import', 'English', 'Italiano']"
61,http://www.viciunaigroup.eu/en,13,"['Europe', 'countries', 'distribution', 'export', 'English']"
98,http://www.casi.es/,13,"['import', 'Europa', 'internacional', 'mundo', 'English']"
36,http://www.joceane.fr/fr-accueil.html,12,"['distribution', 'export', 'import', 'pays']"
40,http://www.dipisasrl.com/en/fruit-and-vegetables-wholesale-bologna/,12,"['vegetables', 'distribution', 'import', 'Italiano']"
88,http://www.royalgreenland.com/from-sea-to-table/,12,"['Fish', 'export', 'Global', 'Deutsch']"
21,http://ww2.carob.es/,12,"['export', 'import', 'internacional', 'mundo']"
66,http://www.grupbaucells.com,12,"['continents', 'import', 'Kontinente', 'continents']"
18,http://www.acamacho.com,12,"['import', 'internacional', 'en todo el mundo', 'mundo']"
46,http://www.morenot.es,12,"['pesca', 'countries', 'import', 'English']"
5,http://www.jomartobacco.com ,12,"['countries', 'export', 'exporting', 'import']"
52,http://www.incarlopsa.es,11,"['Fresco', 'congelado', 'English']"
56,http://www.sanchezalcaraz.com,11,"['Meat ', 'import', 'mundo']"
33,http://www.vitacress.com,11,"['Europe', 'countries', 'export', 'Deutsch', 'German']"
96,http://www.acesur.com,11,"['Africa', 'China', 'mundo', 'Deutsch', 'German']"
95,http://www.procsea.com,11,"['Fish', 'export', 'import']"
17,http://www.nicefruit.com,10,"['import', 'Global', 'mundial', 'English']"
31,http://www.volmary.com,10,"['Fleisch', 'Welt', 'English', 'Deutsch']"
78,http://www.inalca.it,10,"['import', 'Global', 'Afrika', 'Italiano']"
87,http://www.selonda.com/,10,"['Fish', 'Fresh']"
23,http://www.borges-bain.com,10,"['import', 'internacional', 'mundial', 'English']"
80,http://www.sprehe.de,9,"['Fleisch', 'Europa', 'Deutsch']"
86,http://www.sprehe.de,9,"['Fleisch', 'Europa', 'Deutsch']"
9,http://www.deutschesee.de,9,"['Fisch', 'Welt', 'Deutsch']"
93,http://www.angussoftfruits.co.uk,9,"['Europe', 'import', 'English', 'Deutsch', 'Polski']"
83,http://www.dituri.it,9,"['pesca', 'import', 'Italiano']"
53,http://www.fratelliberetta.com/en/home,9,"['countries', 'World', 'English', 'Italiano', 'Italian ']"
27,http://eurial.eu/fr/eurial/chiffres-cles-0,9,"['Fromage', 'import', 'English']"
74,http://www.suincom.it,8,"['carne fresca', 'Global']"
79,http://www.sicilianispa.com,8,"['Carne', 'import']"
77,http://www.alcaruno.it,8,"['Carne', 'import']"
10,http://subcarnechevarria.com/,7,"['Europe', 'import', 'English']"
54,http://www.beckettsfoods.co.uk,6,"['Meat ', 'English']"
34,http://www.montronill.com/en/,6,"['export', 'import']"
65,http://www.jaimellorca.com,6,"['import', 'Europa']"
12,http://www.gruposos.com,6,"['import', 'pays']"
37,http://www.ccdp.it,6,"['America', 'import']"
82,http://www.nuovalaselvapesca.it,5,['pesca']
76,http://www.fileni.it,5,"['import', 'English', 'Italiano']"
41,http://www.melinda.it,5,"['Europe', 'English', 'Italiano']"
38,http://www.oceane.tm.fr,5,['Frais']
25,http://compagniedespeches.com/index.htm,5,['Poisson']
67,http://www.metarex.it,5,"['import', 'English', 'Italiano']"
2,http://www.riberebro.com/nuestro-grupo/conservas-vegetales,4,"['mundo', 'English']"
32,http://www.bavaria-saat.de,4,"['import', 'Deutsch']"
51,http://www.grupofuertes.com/en/,4,"['import', 'English']"
39,http://www.sirventalmendras.com,3,['import']
70,http://www.ldc.fr,3,['import']
91,https://ultimocateringandevents.com.au/,3,['import']
47,http://www.chocoweb.com,2,"['English', 'Italiano']"
30,http://www.godeland.landgard.de,1,['Deutsch']
48,http://www.lagnascogroup.it/,1,['English']
84,http://www.foodsimport.com,0,[]
73,http://www.sva-jeanroze.com,0,[]
72,http://www.citterio.com,0,[]
71,http://www.gruppomartelli.com,0,[]
69,http://www.groupelegraet.fr/fr/le-groupe.aspx,0,[]
60,http://www.gadus.be/index-nl.aspx,0,[]
58,http://www.axereal.com/,0,[]
8,http://www.martinavarro.es,0,[]
19,http://www.faccsa.es,0,[]
50,http://www.asprofrut.com/welcome.asp?pag=2,0,[]
1,http://www.dcoop.es,0,[]
24,http://www.friusa.es/,0,[]
13,http://breizhprimeurs.com,0,[]
